taxonomic_id,spades_count,megahit_count,total_count,spades_only,megahit_only,both
1737588,2914,789,3703,False,False,True
3070911,2096,714,2810,False,False,True
2596887,2059,692,2751,False,False,True
2487770,1439,492,1931,False,False,True
2487775,1341,412,1753,False,False,True
2487769,1243,269,1512,False,False,True
2506605,1161,317,1478,False,False,True
1977640,1132,298,1430,False,False,True
2487765,1034,348,1382,False,False,True
2506606,948,376,1324,False,False,True
62099,896,405,1301,False,False,True
2506604,914,331,1245,False,False,True
2809302,893,264,1157,False,False,True
1977631,842,232,1074,False,False,True
455367,862,169,1031,False,False,True
2487768,705,299,1004,False,False,True
2763269,739,203,942,False,False,True
3240092,673,243,916,False,False,True
2506594,659,140,799,False,False,True
2023057,613,178,791,False,False,True
1977638,559,196,755,False,False,True
4568,563,180,743,False,False,True
2506609,556,154,710,False,False,True
2024608,524,153,677,False,False,True
2060617,508,143,651,False,False,True
1977633,444,154,598,False,False,True
3880,435,132,567,False,False,True
2506608,442,120,562,False,False,True
2763270,414,129,543,False,False,True
2487774,361,133,494,False,False,True
47929,324,163,487,False,False,True
3072188,366,111,477,False,False,True
2971331,344,77,421,False,False,True
1349410,325,93,418,False,False,True
3019033,342,64,406,False,False,True
2506602,288,107,395,False,False,True
693272,307,79,386,False,False,True
1278272,294,75,369,False,False,True
3114988,286,83,369,False,False,True
3045048,281,87,368,False,False,True
2848915,277,65,342,False,False,True
2922419,263,76,339,False,False,True
3057169,246,91,337,False,False,True
2126980,172,154,326,False,False,True
10090,281,44,325,False,False,True
938083,220,102,322,False,False,True
2847767,259,55,314,False,False,True
455364,257,55,312,False,False,True
1450746,169,142,311,False,False,True
2704073,251,60,311,False,False,True
2487771,219,88,307,False,False,True
2487763,249,58,307,False,False,True
1605721,233,69,302,False,False,True
2809609,247,53,300,False,False,True
1349409,230,69,299,False,False,True
104782,206,88,294,False,False,True
37665,211,74,285,False,False,True
1474867,187,97,284,False,False,True
2811091,199,66,265,False,False,True
1586713,199,63,262,False,False,True
2704074,190,68,258,False,False,True
5547,215,31,246,False,False,True
3052230,193,52,245,False,False,True
2568002,186,52,238,False,False,True
3702,196,34,230,False,False,True
2823154,175,55,230,False,False,True
4932,178,52,230,False,False,True
7955,198,28,226,False,False,True
2530038,173,50,223,False,False,True
38705,155,49,204,False,False,True
2506603,118,80,198,False,False,True
2937230,144,51,195,False,False,True
411359,141,50,191,False,False,True
1678078,150,40,190,False,False,True
51543,150,40,190,False,False,True
1924548,137,53,190,False,False,True
4577,156,33,189,False,False,True
83442,148,39,187,False,False,True
1477405,134,52,186,False,False,True
2487766,137,49,186,False,False,True
1835008,135,50,185,False,False,True
4952,129,49,178,False,False,True
1278261,131,40,171,False,False,True
39420,112,58,170,False,False,True
2008368,133,32,165,False,False,True
2506593,114,47,161,False,False,True
1278270,132,29,161,False,False,True
3032484,100,60,160,False,False,True
1956188,121,39,160,False,False,True
2487767,108,49,157,False,False,True
109981,118,38,156,False,False,True
231992,103,53,156,False,False,True
1278268,114,35,149,False,False,True
251749,122,27,149,False,False,True
205075,121,28,149,False,False,True
2713452,94,53,147,False,False,True
1278251,100,43,143,False,False,True
399781,121,20,141,False,False,True
1278276,76,63,139,False,False,True
158683,110,29,139,False,False,True
2737033,111,27,138,False,False,True
4547,84,50,134,False,False,True
880161,94,36,130,False,False,True
2700071,113,16,129,False,False,True
2071566,104,22,126,False,False,True
2506585,86,34,120,False,False,True
1278246,101,18,119,False,False,True
2587224,91,26,117,False,False,True
2023205,72,42,114,False,False,True
1859492,81,31,112,False,False,True
1955172,69,43,112,False,False,True
2109587,87,23,110,False,False,True
328615,67,42,109,False,False,True
3378357,84,23,107,False,False,True
938082,89,18,107,False,False,True
938081,88,18,106,False,False,True
28321,75,29,104,False,False,True
2364897,83,21,104,False,False,True
1120767,79,25,104,False,False,True
2506591,77,26,103,False,False,True
3111543,79,21,100,False,False,True
1302812,75,24,99,False,False,True
262968,80,19,99,False,False,True
2506597,68,30,98,False,False,True
2506600,64,34,98,False,False,True
1421424,80,13,93,False,False,True
3116536,80,13,93,False,False,True
46021,75,15,90,False,False,True
2506586,61,29,90,False,False,True
1663209,72,16,88,False,False,True
3129788,62,26,88,False,False,True
2831644,66,21,87,False,False,True
2530039,73,13,86,False,False,True
3131770,71,14,85,False,False,True
1955170,66,19,85,False,False,True
1586715,57,26,83,False,False,True
1586714,58,24,82,False,False,True
1278271,64,18,82,False,False,True
1924550,45,36,81,False,False,True
3040692,62,18,80,False,False,True
97195,64,15,79,False,False,True
1653087,58,21,79,False,False,True
3349365,56,21,77,False,False,True
1586712,46,29,75,False,False,True
3378374,58,16,74,False,False,True
3378370,54,20,74,False,False,True
6183,58,16,74,False,False,True
42683,62,11,73,False,False,True
3077364,64,7,71,False,False,True
1421421,56,13,69,False,False,True
3433150,45,23,68,False,False,True
2742700,61,6,67,False,False,True
2506592,49,17,66,False,False,True
3017316,40,25,65,False,False,True
2984284,51,13,64,False,False,True
2506588,57,7,64,False,False,True
2506607,42,19,61,False,False,True
2107707,43,18,61,False,False,True
1421422,44,17,61,False,False,True
2905229,41,19,60,False,False,True
154974,45,14,59,False,False,True
755272,40,19,59,False,False,True
2576451,30,29,59,False,False,True
2079134,44,14,58,False,False,True
1924551,32,25,57,False,False,True
2704071,49,6,55,False,False,True
2506595,33,20,53,False,False,True
1461100,39,14,53,False,False,True
880162,38,15,53,False,False,True
3066973,39,14,53,False,False,True
3138182,42,10,52,False,False,True
575979,39,12,51,False,False,True
3078405,43,8,51,False,False,True
206392,34,16,50,False,False,True
2726183,41,9,50,False,False,True
373996,31,18,49,False,False,True
1128135,44,5,49,False,False,True
10497,35,13,48,False,False,True
3130360,42,6,48,False,False,True
2506589,38,9,47,False,False,True
1128131,39,8,47,False,False,True
2801461,35,11,46,False,False,True
2107709,33,13,46,False,False,True
2862371,33,12,45,False,False,True
10261,33,12,45,False,False,True
145856,36,8,44,False,False,True
2984272,28,16,44,False,False,True
2487772,33,11,44,False,False,True
2809551,34,10,44,False,False,True
3032485,24,19,43,False,False,True
696472,33,10,43,False,False,True
442302,32,11,43,False,False,True
1278278,26,17,43,False,False,True
1974596,32,11,43,False,False,True
554168,37,6,43,False,False,True
2909297,21,20,41,False,False,True
2530040,34,6,40,False,False,True
946046,24,13,37,False,False,True
1826170,29,8,37,False,False,True
10913,23,14,37,False,False,True
1903266,19,18,37,False,False,True
2984273,32,4,36,False,False,True
68347,24,11,35,False,False,True
1988039,25,10,35,False,False,True
1720526,28,6,34,False,False,True
880159,26,8,34,False,False,True
2496520,26,8,34,False,False,True
3069717,26,7,33,False,False,True
2506596,24,9,33,False,False,True
1278269,27,6,33,False,False,True
137758,19,13,32,False,False,True
44088,21,11,32,False,False,True
3131568,20,11,31,False,False,True
3109969,25,6,31,False,False,True
150286,24,7,31,False,False,True
3130044,23,7,30,False,False,True
4679,15,14,29,False,False,True
4896,21,8,29,False,False,True
3694,20,9,29,False,False,True
2487773,24,5,29,False,False,True
1269028,24,5,29,False,False,True
10371,19,9,28,False,False,True
2704072,17,11,28,False,False,True
1278255,17,11,28,False,False,True
3116512,19,9,28,False,False,True
3050019,18,10,28,False,False,True
1697349,21,6,27,False,False,True
3378358,22,5,27,False,False,True
3134525,23,3,26,False,False,True
2202954,12,13,25,False,False,True
3130069,19,6,25,False,False,True
10244,20,5,25,False,False,True
464988,18,6,24,False,False,True
1239565,18,6,24,False,False,True
3101553,18,5,23,False,False,True
1958810,18,5,23,False,False,True
1842663,20,3,23,False,False,True
2107708,13,10,23,False,False,True
212035,13,9,22,False,False,True
1932881,14,8,22,False,False,True
3130402,13,8,21,False,False,True
10280,15,6,21,False,False,True
2739783,17,4,21,False,False,True
4081,15,6,21,False,False,True
1769778,15,5,20,False,False,True
1278274,14,5,19,False,False,True
1278252,16,3,19,False,False,True
160691,19,0,19,True,False,False
180170,17,2,19,False,False,True
2109586,15,4,19,False,False,True
1813599,16,2,18,False,False,True
3019552,14,4,18,False,False,True
3425993,15,3,18,False,False,True
2487764,14,4,18,False,False,True
2813486,15,2,17,False,False,True
1278273,10,7,17,False,False,True
3378359,14,3,17,False,False,True
2810136,14,3,17,False,False,True
65424,9,8,17,False,False,True
2497408,11,6,17,False,False,True
