================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,158
Viral contigs detected: 12875

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
--------------------------------------------------------------------------------
k141_174079                    1319            1454       320.61       243.07       61.70       
k141_197                       1416            1472       324.58       229.22       40.00       
k141_3757                      4268            2743       604.83       141.71       78.10       
k141_30813                     3754            2181       480.91       128.11       31.00       
k141_172825                    1431            708        156.11       109.09       46.20       
k141_103145                    1186            570        125.68       105.97       96.90       
k141_9191                      1288            542        119.51       92.79        92.30       
k141_59692                     1892            765        168.68       89.16        26.80       
k141_166669                    1075            388        85.55        79.58        59.30       
k141_49798                     1013            344        75.85        74.88        25.00       
k141_152488                    2820            889        196.02       69.51        78.60       
k141_35741                     1904            583        128.55       67.52        28.60       
k141_46498                     1255            384        84.67        67.47        65.00       
k141_155540                    1644            471        103.86       63.17        78.60       
k141_9163                      1696            441        97.24        57.34        61.00       
k141_44996                     1831            461        101.65       55.52        39.90       
k141_94167                     1251            285        62.84        50.23        35.10       
k141_44357                     9826            2071       456.65       46.47        30.60       
k141_152699                    1549            315        69.46        44.84        36.00       
k141_35371                     1661            330        72.76        43.81        47.00       
k141_149818                    1620            312        68.80        42.47        25.90       
k141_150889                    1469            280        61.74        42.03        28.50       
k141_150684                    4929            928        204.62       41.51        26.10       
k141_171916                    1848            335        73.87        39.97        39.60       
k141_68720                     34166           6140       1353.87      39.63        33.70       
k141_95933                     1231            220        48.51        39.41        32.20       
k141_88389                     1908            340        74.97        39.29        32.20       
k141_84000                     1292            230        50.71        39.25        32.80       
k141_115529                    1539            272        59.98        38.97        38.20       
k141_31248                     1073            188        41.45        38.63        35.00       
k141_24667                     1490            261        57.55        38.62        30.30       
k141_39453                     4707            817        180.15       38.27        29.50       
k141_109367                    2495            432        95.26        38.18        32.60       
k141_125652                    5816            993        218.96       37.65        25.00       
k141_126740                    2243            378        83.35        37.16        25.70       
k141_117044                    1024            171        37.71        36.82        29.90       
k141_35310                     1014            168        37.04        36.53        52.50       
k141_1174                      6614            1064       234.61       35.47        52.50       
k141_65033                     1066            171        37.71        35.37        45.30       
k141_36557                     1244            196        43.22        34.74        33.10       
k141_133566                    1055            165        36.38        34.49        53.00       
k141_77465                     45816           7129       1571.94      34.31        29.00       
k141_63154                     9402            1444       318.40       33.87        27.20       
