contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM,best_hit,identity,evalue,bitscore,taxid
k141_174079,1319,1.319,1454,320.61,243.07,AUI39789.1,61.7,6.1100000000000005e-77,233.0,47929.0
k141_197,1416,1.416,1472,324.58,229.22,AUI39789.1,40.0,6.76e-30,114.0,47929.0
k141_3757,4268,4.268,2743,604.83,141.71,WAX25994.1,78.1,4.54e-09,52.8,10566.0
k141_30813,3754,3.754,2181,480.91,128.11,QKF94607.1,31.0,9.27e-06,46.6,3070911.0
k141_172825,1431,1.431,708,156.11,109.09,AUI39789.1,46.2,1.57e-51,171.0,47929.0
k141_103145,1186,1.186,570,125.68,105.97,WAX25994.1,96.9,6.85e-15,68.9,10566.0
k141_9191,1288,1.288,542,119.51,92.79,XHA87591.1,92.3,7.62e-46,149.0,3348870.0
k141_59692,1892,1.892,765,168.68,89.16,ARF10731.1,26.8,4.14e-15,78.6,1977638.0
k141_166669,1075,1.075,388,85.55,79.58,XHA87591.1,59.3,4.21e-12,61.6,3348870.0
k141_49798,1013,1.013,344,75.85,74.88,CAA73251.1,25.0,5e-06,51.6,10090.0
k141_152488,2820,2.82,889,196.02,69.51,WAX26015.1,78.6,2.5600000000000003e-22,94.0,10566.0
k141_35741,1904,1.904,583,128.55,67.52,AUI39789.1,28.6,2.07e-19,87.8,47929.0
k141_46498,1255,1.255,384,84.67,67.47,WZI33504.1,65.0,6.02e-11,55.8,2971765.0
k141_155540,1644,1.644,471,103.86,63.17,WAX26015.1,78.6,7.299999999999999e-23,95.5,10566.0
k141_9163,1696,1.696,441,97.24,57.34,XHA87591.1,61.0,2.68e-22,89.0,3348870.0
k141_44996,1831,1.831,461,101.65,55.52,AUI39789.1,39.9,5.26e-36,129.0,47929.0
k141_94167,1251,1.251,285,62.84,50.23,AUI39789.1,35.1,1.8000000000000003e-21,93.6,47929.0
k141_44357,9826,9.826,2071,456.65,46.47,YP_009408214.1,30.6,4.38e-26,107.0,2025359.0
k141_152699,1549,1.549,315,69.46,44.84,AUI39789.1,36.0,2.8900000000000002e-31,116.0,47929.0
